PC1,PC2,PC3,PC4,PC5,PC6
-442.34804062953634,-465.10019328089027,-156.08280073802723,0.04646980694499803,73.19809813322183,27.199300119997112
-449.3817181454666,-472.12134339213117,-156.60418819916802,13.972808955511368,65.28283613929264,46.880660632722744
-502.492043337292,-504.3510354730437,-216.18120889457626,-6.439981768760106,70.17871360073138,-38.40345686066121
-499.5795053575662,-503.6912369985757,-212.41439752753342,0.3339073822804153,75.94653094468305,-7.922395374348104
-473.1865949737132,-493.3475220141548,-167.7539399920683,34.49687171166704,49.78474363222075,24.59067275407051
-449.2569485051672,-460.6754214035625,-181.33183366104535,47.91065185800477,73.05881126047554,6.14304998683361
-430.45292141648986,-441.825089575214,-171.22515303932528,49.399004564167626,61.977274613713064,-1.7662762413718553
-435.91698928745313,-449.1779354811454,-172.22610242883292,32.318723160418074,72.11183160758456,0.43408751388634137
-454.7136700724201,-468.22822435861053,-184.14787434333863,47.44309682271265,59.67662168470538,-22.2872037956686
-488.3648369251506,-509.29026501438375,-176.38335923058216,15.186015437159512,27.834237108971323,-11.125338654868115
-403.49596671697896,-426.45369774359057,-138.6843609617374,32.641174819508905,62.420293696344196,9.489318465255053
-396.70419511000654,-416.01066065694243,-139.40647190466518,29.797995369173833,67.90127236138419,9.435950016038891
-392.2411094080328,-405.71608568656086,-151.88118389310404,29.240887568068644,47.32138467102595,-19.442384323735865
-392.42794779130764,-409.34530663352757,-147.61799653711444,34.73693035781804,53.7083344892587,-13.053421526961444
-400.35365026318016,-420.37699427629724,-141.1557496162556,38.346093270818386,54.81234426259421,-1.2424408542166816
-409.3066306488413,-430.43050725342357,-140.6058211713554,64.66331746356931,48.469260628942266,14.87300443274248
-410.917902481782,-429.24299160589385,-146.3846046273166,64.3178105835733,52.510376713109494,25.777420495505574
-412.85289096552253,-438.37471257455286,-134.04902232868756,50.90610317060617,59.90958915801377,16.16407936754726
-401.62185967510163,-420.477412028244,-139.84606520094485,48.864353683299356,58.01944214040765,9.044325654652614
-397.24216131188564,-410.9169734150656,-148.49690281120084,48.00563174852792,46.95007440643847,-4.31715747821624
-398.88066670401116,-414.178793072207,-150.77546287783107,42.51536757551452,55.334814318349935,-2.4220681517449876
-419.32564101533563,-437.8302206516438,-152.54727183575247,42.34119446837033,58.77365055887207,18.628010180098105
-436.5442290638915,-456.8391701759628,-157.5883673012584,47.62097813742338,51.757800577431155,26.37445715559933
-444.8404082973046,-463.7183896861282,-164.6199719309623,33.667768191215345,41.083074480703615,4.921436219312035
-448.41664045786246,-466.35543906753117,-163.92310254492267,40.68650547264883,46.3451536918463,14.070956178072622
-441.2406058332006,-457.8151603027336,-163.59255695004367,51.388329204469386,40.43151500025364,16.680361511386558
-427.54083995267007,-444.30841484020516,-160.6210022702071,56.950724200459774,53.23026933174232,32.95672488426874
-408.7627486065179,-425.76689537328184,-153.80957355741845,55.60900472432505,62.04198764703191,30.034365532875988
-401.1772580435647,-412.13828685168227,-154.4537711351661,59.51772869939347,55.34687897522358,29.625717867376927
-411.44548903990164,-430.6127127616093,-139.10887581890057,52.75801222835918,68.61134954668063,43.19747814488783
-406.0903053657628,-423.3644790839832,-144.29020127736794,45.68889448604861,58.92864352383149,13.96561511570092
-398.0886432659606,-412.8879657577521,-149.26096316614223,59.40899144186824,54.90478491301745,5.332062202949032
-406.1317218472952,-427.42203457278924,-147.11928147777127,49.44071157279933,60.69185186844642,11.20703310009479
-428.5494827301327,-457.94166096822255,-135.59324826871983,30.649280918727328,61.87209545589294,21.095468890340893
-430.70361725508474,-455.2282275865979,-142.95369316189095,29.569968026373033,52.414893256956276,11.24209503098942
-441.26564127027075,-465.35257661930257,-141.55689258342827,48.51965479635368,61.048797645744514,33.96223503725197
-443.7129053799309,-469.1050218859617,-143.43051950215553,36.29934755922389,61.4336842749625,21.129603972166407
-435.6452828809123,-456.94837931404334,-152.0098503884241,32.23696873801097,60.746548420231605,9.764316521303325
-425.7618563437074,-446.7695435101936,-157.55493665097976,42.851223335795,64.8361803190408,14.779956309749783
-436.5199416263992,-457.0980778456383,-157.19232293315363,56.68112889318476,52.541419152795356,18.617714848168028
-436.8092671524005,-458.50425310499816,-156.473213844699,61.89898299004443,47.36076528409525,20.380384838865105
-433.8645612014338,-456.65971378103427,-154.00092231439362,58.00141698492459,52.01025361187834,21.793874901994887
-434.8666975121549,-455.46923955727164,-156.14283961194104,52.21547298368577,50.64038262555283,13.508424897589395
-426.8751411035975,-440.21023977640675,-163.52201857151235,45.52077605175123,61.64884306860119,24.67311768076273
-435.14918491910566,-452.93093763396814,-165.9621210077867,66.77499599486472,67.17209366205581,15.662467339875995
-454.5785376817316,-476.1170185496388,-163.34100721918625,44.22455878383107,83.34286337357324,6.235047630925585
-446.3736982518755,-463.61931565885743,-178.23742093324108,52.01609907340122,64.79215180517524,-19.305471039565283
-481.31171414950666,-501.93628169436585,-175.79032031025338,39.89255865855492,56.47240834598327,-4.874670867963886
-450.67687907023276,-466.8948982698706,-173.78876776887535,58.85881123214449,66.22261519355105,10.56930345860098
-449.8030727079243,-467.81507232747856,-164.9843028495163,54.46363137734127,65.71249403274697,22.72341754464469
-444.29754319106314,-466.3681310835607,-158.23356241640292,32.40522531548967,69.50678185998247,15.601154228320995
-441.0112211484639,-464.0168847118339,-153.9864639766207,38.373674893404,59.13687024873511,16.241890195605343
-458.23047910261795,-482.26460359731436,-156.950780413929,31.964421143958674,51.03585556435026,18.450239821328974
-435.84745839937364,-452.39337892890364,-164.54717757593875,62.53584802475402,51.29886656321931,11.792671768727965
-441.7449837248006,-462.6075143511256,-162.34903657778472,80.18053777522016,75.85179052459226,11.98227361965306
-448.2757190466171,-459.167545063277,-180.3091637086589,86.33629290209984,80.50531492952618,16.834600748327247
-446.61209322425606,-454.2340363704583,-179.14184985554547,49.49270480912563,78.55545593513351,26.091351829723965
